SETUP,2,TEAM DEATHMATCH
SPAWN,0,-125,1500
SPAWN,0,-125,1375
SPAWN,0,-125,1250
SPAWN,0,-125,1125
SPAWN,0,-125,1000
SPAWN,0,-125,875
SPAWN,1,1625,1500
SPAWN,1,1625,1375
SPAWN,1,1625,1250
SPAWN,1,1625,1125
SPAWN,1,1625,1000
SPAWN,1,1625,875
PILLAR,-250,-250,110
HWALL,-185,-250,150
HWALL,-50,-250,150
HWALL,85,-250,150
HWALL,220,-250,150
HWALL,355,-250,150
HWALL,490,-250,150
HWALL,625,-250,150
HWALL,760,-250,150
HWALL,895,-250,150
HWALL,1030,-250,150
HWALL,1165,-250,150
HWALL,1300,-250,150
HWALL,1435,-250,150
HWALL,1570,-250,150
HWALL,1681,-250,150
VWALL,-250,-125,150
VWALL,-250,0,150
VWALL,-250,125,150
VWALL,-250,250,150
VWALL,-250,375,150
VWALL,-250,500,150
VWALL,-250,625,150
VWALL,-250,750,150
VWALL,-250,875,150
VWALL,-250,1000,150
VWALL,-250,1125,150
VWALL,-250,1250,150
VWALL,-250,1375,150
VWALL,-250,1500,150
VWALL,-250,1625,150
VWALL,-250,1750,150
VWALL,-250,1875,150
VWALL,-250,2000,150
HWALL,-185,2000,150
HWALL,-50,2000,150
HWALL,85,2000,150
HWALL,220,2000,150
HWALL,355,2000,150
HWALL,490,2000,150
HWALL,625,2000,150
HWALL,760,2000,150
HWALL,895,2000,150
HWALL,1030,2000,150
HWALL,1165,2000,150
HWALL,1300,2000,150
HWALL,1435,2000,150
HWALL,1570,2000,150
HWALL,1681,2000,150
VWALL,1750,-125,150
VWALL,1750,0,150
VWALL,1750,125,150
VWALL,1750,250,150
VWALL,1750,375,150
VWALL,1750,500,150
VWALL,1750,625,150
VWALL,1750,750,150
VWALL,1750,875,150
VWALL,1750,1000,150
VWALL,1750,1125,150
VWALL,1750,1250,150
VWALL,1750,1375,150
VWALL,1750,1500,150
VWALL,1750,1625,150
VWALL,1750,1750,150
VWALL,1750,1875,150
VWALL,1750,2000,150

VWALL,0,125,150
VWALL,0,250,150
VWALL,0,375,150
VWALL,0,500,150
VWALL,0,625,150
VWALL,0,750,150
VWALL,0,875,150
VWALL,0,1000,150
VWALL,0,1125,150
VWALL,0,1250,150
VWALL,0,1375,150
VWALL,0,1500,150
VWALL,0,1625,150
VWALL,0,1750,150

VWALL,1500,125,150
VWALL,1500,250,150
VWALL,1500,375,150
VWALL,1500,500,150
VWALL,1500,625,150
VWALL,1500,750,150
VWALL,1500,875,150
VWALL,1500,1000,150
VWALL,1500,1125,150
VWALL,1500,1250,150
VWALL,1500,1375,150
VWALL,1500,1500,150
VWALL,1500,1625,150
VWALL,1500,1750,150

HWALL,50,0,150
HWALL,180,0,150
HWALL,300,0,150
HWALL,429,0,150

HWALL,50,1000,150
HWALL,170,1000,150
HWALL,295,1000,150
HWALL,425,1000,150

PILLAR,0,0,110
PILLAR,1000,0,110
PILLAR,1500,0,110
PILLAR,1000,1000,110

HWALL,800,500,150
HWALL,920,500,150
HWALL,1050,500,150
HWALL,1175,500,150

HWALL,1055,0,150
HWALL,1180,0,150
HWALL,1300,0,150
HWALL,1430,0,150

HWALL,1055,1000,150
HWALL,1180,1000,150
HWALL,1300,1000,150
HWALL,1435,1000,150

PILLAR,750,250,110

VWALL,750,375,150
VWALL,750,500,150
	
HWALL,300,500,150
HWALL,420,500,150
HWALL,550,500,150
HWALL,680,500,150

VWALL,250,750,150
VWALL,250,625,150

VWALL,1250,750,150
VWALL,1250,625,150

HWALL,300,750,150
HWALL,425,750,150

PILLAR,250,500,110
PILLAR,1000,750,110

HWALL,1050,750,150
HWALL,1180,750,150
