SETUP,2,TEAM FLAG
SPAWN,0,0,0
SPAWN,0,0,-100
SPAWN,1,2000,0
SPAWN,1,2000,-100
HWALL,201,250,100
HWALL,119,250,100
PILLAR,80,250,72
HWALL,-127,250,100
HWALL,-209,250,100
VWALL,-250,250,100
VWALL,-250,187.5,100
VWALL,-250,125,100
VWALL,-250,62.5,100
VWALL,-250,0,100
VWALL,-250,-62.5,100
VWALL,-250,-125,100
VWALL,-250,-187.5,100
PILLAR,-250,-250,71
HWALL,-210,-250,100
HWALL,-120,-250,100
HWALL,-30,-250,100
HWALL,60,-250,100
HWALL,150,-250,100
HWALL,240,-250,100
HWALL,330,-250,100
HWALL,420,-250,100
HWALL,510,-250,100
HWALL,600,-250,100
HWALL,690,-250,100
HWALL,780,-250,100
HWALL,870,-250,100
HWALL,960,-250,100
HWALL,1050,-250,100
HWALL,1140,-250,100
HWALL,1230,-250,100
VWALL,750,-187.5,100
VWALL,750,-125,100
VWALL,750,-62.5,100
DOOR,750,20,100
PILLAR,750,62.5,72
VWALL,750,125,100
VWALL,750,187.5,100
VWALL,750,250,100
HWALL,780,250,100
HWALL,860,250,100
PILLAR,1090,250,72
HWALL,1120,250,100
HWALL,1203,251,100
VWALL,1250,250,100
VWALL,1250,187.5,100
VWALL,1250,125,100
PILLAR,1250,62.5,72
DOOR,1250,20,100
VWALL,1250,-62.5,100
VWALL,1250,-125,100
VWALL,1250,-187.5,100
HWALL,1320,-250,100
HWALL,1410,-250,100
HWALL,1500,-250,100
HWALL,1590,-250,100
HWALL,1680,-250,100
HWALL,1770,-250,100
HWALL,1860,-250,100
HWALL,1950,-250,100
HWALL,2040,-250,100
HWALL,2130,-250,100
HWALL,2205,-250,100
VWALL,2250,-187.5,100
VWALL,2250,-125,100
VWALL,2250,-62.5,100
VWALL,2250,0,100
VWALL,2250,62.5,100
VWALL,2250,125,100
VWALL,2250,187.5,100
VWALL,2250,250,100
HWALL,2203,251,100
HWALL,2120,250,100
PILLAR,2080,250,72
HWALL,1870,250,100
HWALL,1785,250,100
PILLAR,1750,250,72
VWALL,1750,312.5,100
VWALL,1750,375,100
PILLAR,1750,562.5,72
DOOR,1750,522,100
VWALL,1750,440,100
VWALL,1750,625,100
VWALL,1750,687.5,100
VWALL,1750,750,100
HWALL,1705,751,100
HWALL,1640,750,100
HWALL,1550,750,100
HWALL,1460,750,100
HWALL,1370,750,100
HWALL,1280,750,100
HWALL,1190,750,100
HWALL,1100,750,100
HWALL,1010,750,100
HWALL,920,750,100
HWALL,830,750,100
HWALL,740,750,100
HWALL,650,750,100
HWALL,560,750,100
HWALL,470,750,100
HWALL,380,750,100
HWALL,290,750,100
VWALL,250,750,100
VWALL,250,687.5,100
VWALL,250,625,100
PILLAR,250,562.5,72
DOOR,250,520,100
VWALL,250,437.5,100
VWALL,250,375,100
VWALL,250,312.5,100
VWALL,-250,750,100
VWALL,-250,687.5,100
VWALL,-250,625,100
VWALL,-250,562.5,100
VWALL,-250,500,100
VWALL,-250,437.5,100
VWALL,-250,375,100
VWALL,-250,312.5,100
HWALL,203,751,100
HWALL,119,750,100
HWALL,37,750,100
HWALL,-45,750,100
HWALL,-126,750,100
HWALL,-208,750,100
VWALL,2250,750,100
HWALL,2205,751,100
HWALL,2150,750,100
HWALL,2060,750,100
HWALL,1970.5,750,100
HWALL,1880,750,100
HWALL,1790,750,100
VWALL,2250,687.5,100
VWALL,2250,625,100
VWALL,2250,562.5,100
VWALL,2250,500,100
VWALL,2250,437.5,100
VWALL,2250,375,100
VWALL,2250,312.5,100
FLAG,1000,0,80
PEDASTAL,0,0,500,100
PEDASTAL,1,2000,500,100
ROCK,950,530,175
ROCK,900,500,100
ROCK,1060,500,100
ROCK,970,555,100
ROCK,990,450,100
PILLAR,525,527,125
PILLAR,1475,527,125
